# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE76483|other_multiomics|Mus musculus|192|GSE76483_FPKM_table.txt.gz(2MB), GSE76483_matched_genebody_methylation.txt.gz(580KB), GSE76483_matched_promoter_methylation.txt.gz(469KB), GSE76483_Read_count_merged_table_GSM2099935-GSM2099952.txt.gz(298KB)|neuroscience,development|Simultaneous profiling of transcriptome and DNA methylome from a single cell|developed new sequencing method simultaneously sequence mouse DRG neurons|multiomics
GSE189040|cite_seq|Homo sapiens|24|GSE189040_Pool10_TCR.zip(54MB), GSE189040_Pool10.zip(439MB), GSE189040_Pool13_TCR.zip(51MB), GSE189040_Pool13.zip(427MB), GSE189040_Pool16_TCR.zip(52MB), GSE189040_Pool16.zip(555MB), GSE189040_Pool19_TCR.zip(64MB), GSE189040_Pool19.zip(617MB), GSE189040_Pool1_TCR.zip(28MB), GSE189040_Pool1.zip(306MB), GSE189040_Pool22_TCR.zip(61MB), GSE189040_Pool22.zip(610MB), GSE189040_Pool4_TCR.zip(25MB), GSE189040_Pool4.zip(277MB), GSE189040_Pool7_TCR.zip(50MB), GSE189040_Pool7.zip(408MB)|immunology,gut_intestine,cell_stress,cell_cycle|Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis - CD3 scRNA-Seq|Adult inflammatory bowel disease incompletely understood combine unbiased single-cell sequencing gene expression profiling CITE-seq derived cell surface protein TCR BCR sequence transcriptomics|multiomics
GSE263154|cite_seq|Homo sapiens|12|GSE263154_RAW.tar(67MB)|immunology,cardiovascular,metabolism|CITE-Seq analysis of immune populations in paired human epicardial adipose tissue and right atrial appendage tissue samples|primary aim compare repertoire myocardium focus cell subsets specifically tissue-resident memory|multiomics
GSE263178|other_multiomics|Homo sapiens|2|GSE263178_RAW.tar(4.9GB)|cancer,development,epigenetics,skeletal_muscle,hematopoiesis,drug_response,gene_regulation,signal_transduction|Bone Marrow Stromal Cells Induce Chromatin Remodeling in Multiple Myeloma Cells Leading to Transcriptional Changes [Multiome (10X Genomics) - scRNA-Seq & scATAC-Seq]|natural history characterized localization interaction growth survival signals thereby promoting development drug resistance human lines induces cis-regulatory elements expression genes invol|multiomics
GSE247756|other_multiomics|Mus musculus|8|[GEO:TSV]|cancer,immunology,development,skeletal_muscle,hematopoiesis|RNASeq, multiome, and genomic profiling of hematopoietic progenitors and B cells from mice with a point mutation in MYC [Multiome]|generated threonine mouse germline T58A mutant ultimately develop AML lymphomas profiled changes gene expression occupation single sorted immature bone marrow mature spleen derived stimulated LPS IL7|multiomics
GSE237592|cite_seq|Mus musculus|2|[GEO:CSV, MTX, TSV, TXT]|cancer,immunology,lung_respiratory,drug_response,cell_cycle|Glutamine antagonist DRP-104 suppresses tumor growth and enhances response to checkpoint blockade in KEAP1 mutant lung cancer|tumors injected mice once formed treated anti-PD1 combination drugs Immune cells isolated lungs ExCITE-seq|multiomics
GSE210736|other_multiomics|Homo sapiens|39|GSE210736_new_samples_meta.xlsx(35KB), GSE210736_RAW.tar(5.9GB)|cancer,neuroscience,development,plant_biology,cell_stress|Chronic hypoxia remodels the tumor microenvironment to support glioma stem cell growth [scRNAseq+Multiome]|Cerebral organoids co-cultured patient derived cells GLICOs experimentally tractable research tool useful investigating human brain glioblastoma develop long-term novel COs minimally seeded GSCs|multiomics
GSE217194|other_multiomics|Mus musculus|5|GSE217194_RAW.tar(3.0GB)|development,cardiovascular,epigenetics,lung_respiratory,gene_regulation|Multiome (GEX + ATAC) profile at single cell level of Foxf1 positive endothelial cells and mesenchymal cells from mouse lung at E18.5|enriched differentially expressed derived mesoderm RNA sequencing snRNAseq snATAC analyze dynamic transcriptional regulation various types specific distal enhancers contribute molecular pathology|multiomics
GSE210229|cite_seq|Homo sapiens|14|GSE210229_RAW.tar(63MB), GSE210229_SampleTags.xlsx(12KB), GSE210229_Supplementary_Table_1.xlsx(11KB), GSE210229_Supplementary_Table_2.xlsx(12KB), GSE210229_Supplementary_Table_3.xlsx(11KB), GSE210229_Supplementary_Table_4.xlsx(10KB)|immunology,infectious_disease,lung_respiratory|CD8+ T-cell memory induced by successive SARS-CoV-2 mRNA vaccinations is characterized by clonal replenishment [scTCR-seq, CITE-seq]]|vaccines against Spike glycoprotein severe acute respiratory syndrome type coronavirus elicit strong responses unknown repertoire clones changes primary secondary analyzed kinetic profile|multiomics
GSE208039|other_multiomics|Mus|2|GSE208039_filtered_feature_bc_matrix.h5(80MB), GSE208039_RAW.tar(1.1GB)|epigenetics,fibrosis_wound,hematopoiesis|Transcriptional Activation of Regenerative Haematopoiesis via Niche Sensing [snRNA/ATACseq HSPC Multiome]|single nuclei RNA/ATAC-seq sorted population SLAM LSK HSPCs uncover determinants regulating distinct transitional states|multiomics
GSE236422|other_multiomics|Homo sapiens|12|[GEO:CSV, H5, TSV]|cancer,immunology,metabolism,epigenetics,drug_response,signal_transduction|Deconvolution of the mechanisms of T cell drug response in multiple myeloma induction therapy|characterize effect bortezomib lenalidomide dexamethasone cells help high-quality datasets generated trimodal single-cell genomics method TEA-seq captures mRNA transcripts surface epitopes chromatin|multiomics
GSE277390|other_multiomics|Mus musculus|10|GSE277390_RAW.tar(13.8GB), GSE277390_RbpkKO_Oct4_mCherry_Combined_filtered_feature_bc_matrix.h5(119MB)|neuroscience,epigenetics,microbiology,rna_biology,signal_transduction,eye_vision|Oct4 overexpression and suppression of Notch signaling synergistically induce neurogenic competence in mammalian Muller glia.|scRNA-Seq scMultiome snRNA/ATAC GFP cells adult control Rbpj-deleted mouse retinas Gfap-Oct4 Gfap-mCherry profile changes gene chromatin accessibility|multiomics
GSE268957|other_multiomics|Homo sapiens|4|GSE268957_ATAC_RNA_GSEA.RDS.gz(5.6GB), GSE268957_feature_README.txt(160B)|cancer,development,epigenetics,gut_intestine,drug_response,signal_transduction|LSD1 and CoREST2 Regulate STAT3 Activity to Promote Enteroendocrine Cell Differentiation in Mucinous Colorectal Cancer[scMultiome-seq]|Neuroendocrine cells implicated therapeutic resistance worse overall survival many types mCRC uniquely enriched EECs normal colon epithelium non-mucinous CRC targeting EEC clinical value single|multiomics
GSE253441|spatial_multiomics|Mus musculus|4|GSE253441_RAW.tar(9MB), GSE253441_section_barcodes.txt.gz(1KB)|cardiovascular,skeletal_muscle|Spatial multi-omics in skeletal muscle unravel complex myofiber architecture|muscles organs consisting multiple tissues connective tissue blood vessels nerves multinucleated myofibers Single-nucleus transcriptomics analyses distinctive myonuclear populations related type|multiomics
GSE275871|cite_seq|Homo sapiens|92|GSE275871_Metadata_CITESeq+TCR.tsv.gz(33MB), GSE275871_Normalized_Counts.csv.gz(1.0GB)|immunology,infectious_disease,fibrosis_wound,skin|Multiomic single-cell sequencing of skin and blister fluid from patients with severe cutaneous adverse drug reactions.|SCAR rare life-threatening mediated human leukocyte antigen HLA class I-restricted CD8 T-cells obtain unbiased assessment cellular immunopathogenesis transcriptome surface proteome TCR|multiomics
GSE255382|multiome|Mus musculus|4|GSE255382_ko_atac_fragments.tsv.gz(626MB), GSE255382_ko_GC111891.h5(184MB), GSE255382_wt_atac_fragments.tsv.gz(906MB), GSE255382_wt_GC111890.h5(266MB)|development,cardiovascular,epigenetics,infectious_disease,kidney,skeletal_muscle,gene_regulation|PRDM16 is required for proper specification of the working ventricular myocardium by suppressing alternative cardiomyocyte cell fates.|transcription factor histone methyltransferase activity expressed earliest stages cardiac development Pathogenic mutations humans lead cardiomyopathy conduction abnormalities heart failure|multiomics
GSE276894|other_multiomics|Arabidopsis thaliana; Homo sapiens; Oryza sativa Indica Group|12|[GEO:TXT]|development,epigenetics,rna_biology|Simultaneous Profiling of Chromatin-Associated RNA at Targeted DNA Loci and RNA-RNA Interactions through TaDRIM-Seq II|enormous variety different RNAs transcribed eukaryotic genome particular long non-coding lncRNAs enrich via retain transcription site Cis-acting recruited genomic regions Trans-acting play regulating|multiomics
GSE262189|other_multiomics|Homo sapiens|12|GSE262189_RAW.tar(26.8GB)|cancer,epigenetics,skeletal_muscle|Joint single-nucleus RNA sequencing and single-nucleus ATAC sequencing of neuroblastoma cell lines|undertaken assess transcriptional epigenetic heterogeneity level individual cells within compare MYCN amplificaion without amplification Methods 10X Genomics multiome technology perform gene|multiomics
GSE262322|other_multiomics|Gallus gallus|1|[GEO:H5, TAR, TXT]|neuroscience,epigenetics,gene_regulation|Deep learning of enhancer codes highlights similarities between mammalian and avian telencephalon cell types [stereoseq]|Combinations transcription factors govern identity reflected genomic utilized characterize devised three novel metrics compare mammals birds end generated single-cell multiome spatially-resolved|multiomics
GSE261023|other_multiomics|Homo sapiens|3|GSE261023_RAW.tar(4.3GB)|cancer,immunology,drug_response|Tumor-reactive T cell clonotype dynamics underlying clinical response to TIL therapy in melanoma [multiome]|Adoptive vitro expanded tumor-infiltrating lymphocytes TILs inconsistent responses better understand determinants therapeutic success tracked clonotypes baseline tumors products post-ACT blood|multiomics
GSE276058|other_multiomics|Homo sapiens; Mus musculus; Macaca fascicularis|6|GSE276058_cy_barcodes.tsv.gz(362KB), GSE276058_cy_features.tsv.gz(7MB), GSE276058_cy_matrix.mtx.gz(2.4GB), GSE276058_hu_barcodes.tsv.gz(364KB), GSE276058_hu_features.tsv.gz(7MB), GSE276058_hu_matrix.mtx.gz(2.5GB), GSE276058_ms_barcodes.tsv.gz(393KB), GSE276058_ms_features.tsv.gz(5MB), GSE276058_ms_matrix.mtx.gz(1.3GB)|immunology,neuroscience,development,metabolism,signal_transduction|Single-cell multiome uncovers differences in glycogen metabolism underlying species-specific speed of development [scRNAseq and scATACseq]|Embryos different mammalian characteristic timescales recapitulated differentiation pluripotent stem cells vitro genes molecular pathways modulate use multi-omic neural mouse cynomolgus monkey human|multiomics
GSE275572|other_multiomics|Homo sapiens; Mus musculus; Macaca fascicularis|23|GSE275572_RAW.tar(570MB)|development,metabolism|Single-cell multiome uncovers differences in glycogen metabolism underlying species-specific speed of development|SuperSeries composed SubSeries listed|multiomics
GSE253407|other_multiomics|Homo sapiens; Mus musculus|24|GSE253407_Droplet_Hi-C_mouse_ctx_metadata.xls.gz(238KB), GSE253407_Paired_Hi-C_mouse_ctx_metadata.xls.gz(2MB), GSE253407_RAW.tar(195.9GB)|neuroscience,epigenetics,gene_regulation|Droplet Hi-C enables scalable, single-cell profiling of chromatin architecture in heterogeneous tissues|Current methods analyzing readily introduce uses commercial microfluidic device high-throughput conformation droplets mapped mouse cortex analyzed regulatory programs major cortical types addition|multiomics
GSE261013|multiome|Mus musculus|2|GSE261013_RAW.tar(2.0GB)|immunology,development,epigenetics,infectious_disease,aging|B cell differentiation into germinal center and antibody-secreting cells depends on SMARCA5-mediated chromatin remodeling[scMultiome - RNA + ATAC]|establishment long-lasting immunity against pathogens facilitated reaction increase affinity differentiate ASC memory events involve modifications packaging orchestrate profound restructuring gene|multiomics
GSE275725|cite_seq|Homo sapiens|22|GSE275725_RAW.tar(7.6GB)|cancer,immunology,development,metabolism,skeletal_muscle,hematopoiesis,plant_biology|Tracking of donor and recipient immune and leukemia phenotypes after allogeneic stem cell transplantation using mitochondrial DNA mutations. [ASAP-Seq 4]|mtDNA enable deconvolution recipient-derived single profiles examples sensitive donor-recipient peripheral blood bone marrow context incipient overt AML relapse following hematopoietic Further|multiomics
GSE234556|cite_seq|Homo sapiens|10|[GEO:TAR]|cancer,immunology,development,metabolism,skeletal_muscle,hematopoiesis,plant_biology|Tracking of donor and recipient immune and leukemia phenotypes after allogeneic stem cell transplantation using mitochondrial DNA mutations. [Tapestri]|mtDNA enable deconvolution recipient-derived single profiles examples sensitive donor-recipient peripheral blood bone marrow ASAP-seq context incipient overt AML relapse following hematopoietic|multiomics
GSE234555|cite_seq|Homo sapiens|14|[GEO:CSV, TAR, TSV]|cancer,immunology,development,metabolism,skeletal_muscle,hematopoiesis,plant_biology|Tracking of donor and recipient immune and leukemia phenotypes after allogeneic stem cell transplantation using mitochondrial DNA mutations. [ASAP-Seq 3]|mtDNA enable deconvolution recipient-derived single profiles examples sensitive donor-recipient peripheral blood bone marrow context incipient overt AML relapse following hematopoietic Further|multiomics
GSE234552|cite_seq|Homo sapiens|30|[GEO:CSV, TAR, TSV]|cancer,immunology,development,metabolism,skeletal_muscle,hematopoiesis,plant_biology|Tracking of donor and recipient immune and leukemia phenotypes after allogeneic stem cell transplantation using mitochondrial DNA mutations. [ASAP-Seq 2]|mtDNA enable deconvolution recipient-derived single profiles examples sensitive donor-recipient peripheral blood bone marrow context incipient overt AML relapse following hematopoietic Further|multiomics
GSE234551|cite_seq|Homo sapiens|9|[GEO:CSV, TAR, TSV]|cancer,immunology,development,metabolism,skeletal_muscle,hematopoiesis,plant_biology|Tracking of donor and recipient immune and leukemia phenotypes after allogeneic stem cell transplantation using mitochondrial DNA mutations. [ASAP-Seq 1]|mtDNA enable deconvolution recipient-derived single profiles examples sensitive donor-recipient peripheral blood bone marrow context incipient overt AML relapse following hematopoietic Further|multiomics
GSE227280|other_multiomics|Homo sapiens|2|GSE227280_RAW.tar(1.8GB)|development,cardiovascular,infectious_disease|CCL2-mediated Endothelial Injury Drives Cardiac Dysfunction in Long COVID [Single Cell Multiome ATAC + Gene Expression]|Chronic endotheliitis various cardiovascular co-morbidities more likely develop patients recovering post-acute SARS-CoV-2 infection Despite growing body clinical suggesting endothelium cause|multiomics
GSE271754|cite_seq|Homo sapiens|13|[GEO:H5]|immunology,infectious_disease,signal_transduction|CITE-seq analysis of SARS-CoV-2 spike-specific nasal T cells|phenotypes SARS-CoV-2-specific mucosa vaccinated individuals breakthrough infection BTI without|multiomics
GSE264587|cite_seq|Homo sapiens|14|GSE264587_feature_README.txt(5KB), GSE264587_RAW.tar(637MB)|immunology,development,epigenetics,aging,cell_stress|Human Early Postnatal Thymus [CITE-seq]|Within regulation cellular cross-talk directing cell development dependent spatial interactions specialized niches create holistic spatially defined map tissue guiding employed multidimensional|multiomics
GSE264585|cite_seq|Homo sapiens|6|GSE264585_RAW.tar(6.2GB)|immunology,development,epigenetics,aging,cell_stress|Human Early Postnatal Thymus [ATAC-seq]|Within regulation cellular cross-talk directing cell development dependent spatial interactions specialized niches create holistic spatially defined map tissue guiding employed multidimensional|multiomics
GSE275562|multiome|Mus musculus|8|GSE275562_mudata_with_annotation_all.h5mu(23.3GB)|development,epigenetics|Mapping cells through time and space with moscot - pancreatic endocrinogenesis multiome|dataset consists single-nucleus RNA-seq single-cell ATAC-seq 10X embryonic stages E14 5-16 epithelial Neurogenin3 Ngn3 Venus fusion NVF homozygous mice Endocrine progenitor enriched FACS sorting|multiomics
GSE275097|other_multiomics|Gallus gallus|2|[GEO:PICKLE, TIFF, TXT]|neuroscience,epigenetics,gene_regulation|Enhancer-driven cell type comparison reveals similarities between the mammalian and avian telencephalon|Combinations transcription factors govern identity types reflected genomic codes utilized deep learning characterize devised three novel metrics compare mammals birds end generated single-cell|multiomics
GSE272687|spatial_multiomics|Mus musculus|16|GSE272687_BMDM_rawcounts.xlsx(3MB)|immunology,metabolism,drug_response,microbiology,signal_transduction|12-Lipoxygenase Inhibition Suppresses Islet Immune and Inflammatory Responses and Delays Autoimmune Diabetes in Human Gene Replacement Mice.|Type T1D characterized destruction insulin-producing cells involves interplay innate adaptive systems therapeutic potential targeting 12-LOX enzyme implicated pathways macrophages mouse model|multiomics
GSE272668|spatial_multiomics|Mus musculus|7|GSE272668_VLX_islet_rawcounts.xlsx(2MB)|immunology,metabolism,drug_response,microbiology,signal_transduction|12-Lipoxygenase Inhibition Suppresses Islet Immune and Inflammatory Responses and Delays Autoimmune Diabetes in Human Gene Replacement Mice|Type T1D characterized destruction insulin-producing cells involves interplay innate adaptive systems therapeutic potential targeting 12-LOX enzyme implicated pathways macrophages mouse model|multiomics
GSE270292|other_multiomics|Homo sapiens; Mus musculus|33|GSE270292_RAW.tar(361MB)|cancer,immunology,kidney,microbiology|A convenient single-cell newly synthesized transcriptome assay reveals FLI1 regulon downregulation during T-cell activation|invented NOTE-seq method simultaneous profiling regular transcriptomes cells high cellular throughput integrates 4-thiouridine labeling RNA thiol-alkylation-based chemical conversion streamlined 10X|multiomics
GSE271689|spatial_multiomics|Homo sapiens|586|GSE271689_RAW.tar(35MB)|cancer,immunology,lung_respiratory,drug_response|Enhancing Immunotherapy Outcomes: Spatial Multi-Omics Predictive Models for Non-Small Cell Lung Cancer|NSCLC increasing number targeted systemic therapies allowing subsets patients achieve long term durable benefit Fundamental understanding responses given comprehensive molecular characterization|multiomics
GSE241468|other_multiomics|Homo sapiens|32|GSE241468_fragments_info.xlsx(13KB), GSE241468_RAW.tar(72.1GB), GSE241468_share_seur.rds(19.9GB)|cancer,epigenetics,lung_respiratory,gene_regulation|Context-aware single-cell multiomics approach identifies cell-type specific lung cancer susceptibility genes|Genome-wide association GWAS over fifty genomic loci risk genetic target largely unknown most risk-associated-variants regulate expression context-specific manner generated barcode-shared multiome|multiomics
GSE210432|other_multiomics|Homo sapiens|36|GSE210432_RAW.tar(552MB), GSE210432_seurat_object.rds.gz(12.6GB)|immunology,infectious_disease,aging,hematopoiesis|TET2 Mutant Clonal Hematopoiesis Enhances Severity of COVID-19 Related Cytokine Release Syndrome and is Associated with Increased Mortality [scMULT]|Coronavirus disease 2019 morbidity albeit considerable heterogeneity among affected individuals Emerging evidence points towards important preexisting host factors deregulated inflammatory response|multiomics
GSE274314|spatial_multiomics|Homo sapiens|14|[GEO:CSV, JPG, JSON, MTX, PNG, TSV]|cancer,neuroscience,kidney|Primary Aldosteronism: Spatial Multiomics Mapping of Genotype-Dependent Heterogeneity and Tumor Expansion of Aldosterone-Producing Adenomas|frequently caused adrenocortical APA carrying somatic mutation drives overproduction APAs KCNJ5 APA-KCNJ5MUT characterized heterogeneous CYP11B2 synthase expression particular cellular composition|multiomics
GSE274641|other_multiomics|Mus musculus; Homo sapiens|11|[GEO:RDS, VCF, XLSX]|infectious_disease,rna_biology|Spatially exploring RNA biology in archival formalin-fixed paraffin-embedded tissues|capability explore FFPE holds transformative potential histopathology research present pathology-compatible deterministic barcoding Patho-DBiT combining situ polyadenylation computational innovation|multiomics
